Project #,Country,Region,Audience,Data Type,Aim,Taxa,Environment,Start year,End year,Duration,Design,Engagement ,Social media,SM YN,Skills,Contribution frequency,SpeciesID,Guidelines,Training,TrainingYN,Map,Active informing,Feedback,Support ,Number of participants,Number of alien or invasive alien species records,Number of publications
20,Lithuania,Eastern,Anyone (general public),"Species presence and/or abundance, Collecting lists of species","Mapping of alien species, Engagement, Education, Fun",Plants,All,2007,Still running,13,,Other,None,No,None,Irregular,Partially,No,None,No,Yes,No,,No,101 - 500,101 - 500,0
21,Sweden,Northern,Anyone (general public),Experimental data,"Effectiveness of management, Awareness raising, Other",Plants,Terrestrial,2013,Still running,7,Contributory,"Newsletters, Social media, Website, Live training, e.g., courses or workshops",Facebook,Yes,None,One-off,Partially,Yes,None,No,Request,Yes,No,Yes,101 - 500,Not applicable,0
22,Belgium,Western,"Anyone (general public), School students",Species presence and/or abundance,"Prevention, Monitoring or surveillance, Engagement, Education, Awareness raising, Fun",Plants,All,2019,Still running,1,Contributory,"Social media, Website, Live training, e.g., courses or workshops, BioBlitzes, School engagement","Facebook, Twitter, YouTube, Instagram",Yes,None,One-off,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,Yes,Yes,Info not available,Info not available,0
23,Cyprus,Southern,"Fishermen, Scientists, Other","Species presence and/or abundance, Changes in abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis",Fish,Marine,2017,Still running,3,Contributory,"Social media, Website, Live training, e.g., courses or workshops, Other","Facebook, Instagram",Yes,Limited,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc., Other",Yes,Yes,Yes,,Yes,Not applicable,Not applicable,Not applicable
24,"Cyprus, Greece",Southern,"Anyone (general public), Fishermen, University students, Scientists, Other","Species presence and/or abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Engagement, Education, Awareness raising",All,"Freshwater, Marine",2016,Still running,4,Collaborative,"Social media, Website, BioBlitzes","Facebook, Twitter, Instagram",Yes,None,Regular,Yes,Yes,"BioBlitz, Online training",Yes,Yes,Yes,Yes,Yes,2001 - 5000,2001 - 5000,11 to 20
25,"United Kingdom, United States of America",UK&Ireland,Other,"Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Birds,"Freshwater, Terrestrial, Urban",2019,Still running,1,Contributory,To be decided,To be decided,,,,No,,Unknown,,,,,,Info not available,Info not available,Unknown
26,Poland,Eastern,Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising",Other,Freshwater,Unknown,Still running,,Collaborative,"Newsletters, Social media, Website","Facebook, YouTube",Yes,Limited,One-off,No,No,Unknown,,Yes,Yes,,,101 - 500,1 - 50,Unknown
29,Slovakia,Eastern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Engagement, Education, Awareness raising",All,"Freshwater, Terrestrial, Urban",2017,Still running,3,Contributory,"Social media, Website, Gaming","Facebook, Twitter, Instagram",Yes,None,One-off,Yes,Yes,Online training,Yes,Yes,,Yes,Yes,51 - 100,101 - 500,0
30,Poland,Eastern,School students,"Species presence and/or abundance, Collecting lists of species, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Early warning, Engagement, Education, Awareness raising",All,"Freshwater, Terrestrial, Urban",2015,Unknown,,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, School engagement, Gaming",Facebook,Yes,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,,,Yes,Yes,101 - 500,Info not available,Unknown
31,Czech Republic,Eastern,"Anyone (general public), Fishermen, Other","Species presence and/or abundance, Changes in abundance, Measuring impacts, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Education, Testing scientific hypothesis",Crustaceans,Freshwater,2017,Still running,3,Collaborative,"Social media, Website, School engagement",Facebook,Yes,None,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,No,Yes,Yes,Info not available,Info not available,Unknown
32,Sweden,Northern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Early warning",All,All,2018,Still running,2,Collaborative,"Newsletters, Website, Other",Twitter,Yes,Limited,One-off,Partially,,None,No,Request,Partially,Yes,Yes,51 - 100,Info not available,Not applicable
33,Czech Republic,Eastern,"Anyone (general public), School students, University students, Scientists","Species presence and/or abundance, Changes in abundance, Measuring impacts, Evidence of impacts on biodiversity, Early detection, Rate of spread, Experimental data","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Testing scientific hypothesis","Insects, Other","Terrestrial, Urban",2019,Still running,1,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter, Instagram",Yes,Limited,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable
34,Ireland,UK&Ireland,"Anyone (general public), Fishermen, Land managers, Scientists, Other","Species presence and/or abundance, Collecting lists of species, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Engagement, Awareness raising, Other",All,All,2008,Still running,12,Contributory,"Social media, Website, Exhibitions, Live training, e.g., courses or workshops, BioBlitzes","Facebook, Twitter",Yes,None,One-off,Yes,No,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Partially,Yes,Yes,2001 - 5000,10001 - 50000,Unknown
35,Italy,Southern,Anyone (general public),"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising, Testing scientific hypothesis",Insects,"Freshwater, Terrestrial, Urban",2018,Unknown,,Contributory,Other,None,No,Limited,Regular,,Yes,Other,Yes,No,Partially,No,Yes,1 - 50,1 - 50,1 to 5
36,Hungary,Eastern,"Anyone (general public), Scientists",Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Education",Insects,"Terrestrial, Urban",2009,2015,6,Collaborative,"Social media, Website",Facebook,Yes,Limited,One-off,Partially,Yes,None,No,Yes,Partially,Yes,Yes,2001 - 5000,2001 - 5000,1 to 5
37,Israel,,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Early warning, Awareness raising",All,All,2011,Still running,9,,Website,Unknown,,Limited,One-off,Partially,Yes,None,No,Yes,,,,101 - 500,501 - 1000,0
38,Hungary,Eastern,Anyone (general public),"Species presence and/or abundance, Rate of spread",Mapping of alien species,Insects,Terrestrial,2014,Still running,6,Collaborative,Social media,Facebook,Yes,None,Irregular,Yes,Yes,None,No,Yes,Yes,Yes,Yes,101 - 500,101 - 500,0
41,Croatia,Eastern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Prevention, Early warning, Awareness raising",All,All,2014,Still running,6,Contributory,Website,None,No,Limited,Irregular,No,No,None,No,No,No,Yes,Yes,1 - 50,1 - 50,0
42,Croatia,Eastern,"Anyone (general public), School students, University students, Scientists","Species presence and/or abundance, Collecting lists of species, Early detection, Experimental data","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Engagement, Education, Awareness raising, Testing scientific hypothesis, Fun","Plants, Insects, Other",All,2017,Still running,3,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops","Facebook, Twitter, YouTube, Instagram",Yes,Limited,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,,Yes,101 - 500,1 - 50,1 to 5
43,Sweden,Northern,"Anyone (general public), Other","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Evidence of impacts on biodiversity, Early detection, Rate of spread, Experimental data","Mapping of alien species, Monitoring or surveillance, Early warning, Effectiveness of management, Awareness raising, Management, Eradication",Mammals,Terrestrial,2010,Still running,10,Contributory,"Newsletters, Social media, Website, Exhibitions, School engagement, Other",Facebook,Yes,None,One-off,Yes,Yes,None,No,Yes,Yes,Yes,Yes,2001 - 5000,101 - 500,6 to 10
46,Norway,Northern,Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Engagement",Fish,"Freshwater, Marine",2019,Still running,1,Contributory,"Social media, Website",Facebook,Yes,None,,,,Unknown,,,,,,Info not available,Info not available,Unknown
47,Portugal,Southern,"Anyone (general public), Fishermen, School students, University students, Scientists, Other","Species presence and/or abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning, Engagement, Education, Awareness raising",All,"Marine, Other",2019,Still running,1,Collaborative,"Social media, Website, Other","Facebook, Twitter, Instagram",Yes,None,One-off,Yes,Yes,Online training,Yes,Yes,Yes,Yes,Yes,1 - 50,1 - 50,11 to 20
49,Bulgaria,Eastern,"Anyone (general public), Fishermen, University students, Scientists, Other","Species presence and/or abundance, Other","Mapping of alien species, Early warning, Awareness raising, Other",All,All,2019,Still running,1,Contributory,"Website, Other",None,No,None,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable
51,Finland,Northern,"Anyone (general public), Land managers, School students, Other","Species presence and/or abundance, Other","Mapping of alien species, Prevention, Monitoring or surveillance, Engagement, Education, Awareness raising",Plants,All,2019,Still running,1,Collaborative,"Newsletters, Social media, Website, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter, Instagram",Yes,None,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training will be added later on",Yes,Yes,Partially,Yes,Yes,Info not available,Info not available,Unknown
53,Hungary,Eastern,Anyone (general public),Species presence and/or abundance,Mapping of alien species,Insects,Urban,2012,2016,4,Contributory,"Newsletters, Social media, Website",Facebook,Yes,Limited,Irregular,Yes,Yes,None,No,Yes,Partially,No,No,101 - 500,501 - 1000,1 to 5
54,Belgium,Western,"Anyone (general public), Land managers, School students, Scientists, Other","Species presence and/or abundance, Measuring impacts, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning, Effectiveness of management, Education, Awareness raising",Insects,"Terrestrial, Other",2018,Still running,2,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, BioBlitzes, School engagement","Facebook, Twitter",Yes,Limited,Any,Yes,Yes,"BioBlitz, Online training, Group training",Yes,Yes,Yes,Yes,Yes,2001 - 5000,101 - 500,0
56,United Kingdom,UK&Ireland,"Anyone (general public), Other","Species presence and/or abundance, Other","Prevention, Monitoring or surveillance, Early warning, Engagement, Education, Awareness raising",Plants,Terrestrial,2019,Still running,1,Collaborative,"Newsletters, Social media, Website",Twitter,Yes,Limited,One-off,No,Yes,None,No,Yes,Yes,Yes,Yes,1 - 50,1 - 50,0
57,Belgium,Western,"Anyone (general public), Land managers, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning, Awareness raising",All,All,2012,Still running,8,Collaborative,"Newsletters, Social media, Website",Facebook,Yes,None,Any,Yes,Yes,Other,Yes,Yes,Yes,No,Yes,5001 - 10000,100001 - 500000,6 to 10
58,Slovenia,Eastern,"Anyone (general public), Other","Species presence and/or abundance, Early detection","Early warning, Education, Awareness raising","Plants, Mammals, Insects, Other","Terrestrial, Urban",2016,Still running,4,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter",Yes,None,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Partially,Yes,Yes,101 - 500,10001 - 50000,6 to 10
59,"Belgium, France, Netherlands, United Kingdom","Western, UK&Ireland",Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Engagement, Awareness raising, Other","Plants, Mammals, Birds, Crustaceans, Insects, Other",All,2013,2019,6,Contributory,"Newsletters, Social media, Website, Live training, e.g., courses or workshops, workshops, events",Facebook,Yes,Limited,One-off,Yes,No,None,No,Yes,Partially,Yes,No,Info not available,1001 - 2000,1 to 5
60,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Latvia, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom","Northern, Eastern, Southern, Western, UK&Ireland",Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Awareness raising",All,"Freshwater, Terrestrial, Urban",2017,Still running,3,Collaborative,Website,None,No,None,One-off,Partially,No,None,No,Yes,No,No,,Info not available,10001 - 50000,Unknown
61,Cyprus,Southern,Anyone (general public),Species presence and/or abundance,"Education, Awareness raising, Testing scientific hypothesis, Fun","Plants, Insects",Terrestrial,2018,Still running,2,Contributory,"Social media, Website, Live training, e.g., courses or workshops, BioBlitzes, School engagement",Facebook,Yes,Limited,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Request,No,Yes,Yes,1 - 50,51 - 100,0
62,Cyprus,Southern,Anyone (general public),Early detection,"Early warning, Awareness raising",Insects,Terrestrial,2019,Still running,1,Contributory,"Newsletters, Social media, Website",None,No,Limited,Irregular,Yes,Yes,Online training,Yes,,Yes,Yes,Yes,1 - 50,Not applicable,1 to 5
63,France,Western,Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning",Mammals,"Terrestrial, Urban",2012,Still running,8,Collaborative,Website,None,No,None,Irregular,Yes,Yes,None,No,Yes,Partially,,Yes,Info not available,10001 - 50000,0
64,Cyprus,Southern,Anyone (general public),"Species presence and/or abundance, Early detection","Early warning, Engagement, Education, Awareness raising",Insects,"Terrestrial, Urban",2019,Still running,1,Contributory,Social media,Other,Yes,None,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Request,Yes,Yes,Yes,1 - 50,Not applicable,0
65,Luxembourg,Western,Anyone (general public),"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning",Insects,"Freshwater, Terrestrial, Urban",2019,Still running,1,Contributory,"Website, Other",None,No,None,Irregular,Partially,Yes,None,No,Yes,Yes,Yes,Yes,1 - 50,1 - 50,Not applicable
66,Sweden,Northern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Other,Terrestrial,2016,2018,2,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement",Facebook,Yes,Limited,Irregular,Partially,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Request,Partially,Yes,Yes,Not applicable,Not applicable,Not applicable
67,Netherlands,Western,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Prevention, Monitoring or surveillance, Early warning",Plants,"Freshwater, Terrestrial, Urban",2009,Still running,11,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops","Facebook, Twitter",Yes,Advanced,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,101 - 500,100001 - 500000,21 - 50
69,Luxembourg,Western,Other,Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",Plants,"Terrestrial, Urban",2017,2018,1,Contributory,"Website, Other",Facebook,Yes,Limited,Irregular,Yes,Yes,None,No,Yes,Partially,Yes,Yes,1 - 50,1 - 50,0
70,Romania,Eastern,"Anyone (general public), Land managers, Scientists","Species presence and/or abundance, Changes in abundance","Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Awareness raising",Plants,"Terrestrial, Urban",2019,Still running,1,,"Social media, Website",Facebook,Yes,Limited,Regular,Partially,Yes,Online training,Yes,Yes,Yes,Yes,Yes,1001 - 2000,501 - 1000,11 to 20
71,Romania,Eastern,Anyone (general public),"Species presence and/or abundance, Collecting lists of species","Mapping of alien species, Education, Fun",All,All,2017,Still running,3,Collaborative,Website,None,No,None,One-off,Partially,Yes,None,No,Yes,Yes,,Yes,1 - 50,1 - 50,Not applicable
72,"Denmark, Iceland, Lithuania, Norway, Poland, United Kingdom","Northern, Eastern, UK&Ireland","Anyone (general public), Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Testing scientific hypothesis",All,Marine,2018,Still running,2,Collaborative,"Live training, e.g., courses or workshops",None,No,Limited,Irregular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,1 - 50,1 - 50,1 to 5
73,"Portugal, Spain",Southern,"Anyone (general public), Fishermen, School students, University students, Scientists","Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising",All,Freshwater,2018,Still running,2,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, BioBlitzes, School engagement","Facebook, Twitter, YouTube, Instagram",Yes,Limited,Irregular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,,,Info not available,Info not available,Not applicable
74,Romania,Eastern,Fishermen,"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Early warning",Molluscs,Freshwater,2019,2019,1,Contributory,Personal interviews,None,No,Advanced,One-off,Yes,No,None,No,Request,Yes,No,No,101 - 500,101 - 500,1 to 5
75,Israel,,"Anyone (general public), Fishermen, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising",Fish,Marine,2016,Still running,4,Contributory,"Social media, BioBlitzes",Facebook,Yes,Limited,Irregular,Yes,Yes,"BioBlitz, Online training",Yes,No,Yes,Yes,Yes,1001 - 2000,1 - 50,0
76,United Kingdom,UK&Ireland,Anyone (general public),Species presence and/or abundance,Mapping of alien species,Insects,Terrestrial,2011,Still running,9,Contributory,"Website, School engagement",Twitter,Yes,None,One-off,Yes,Yes,None,No,Yes,Partially,Yes,Yes,2001 - 5000,10001 - 50000,1 to 5
77,Czech Republic,Eastern,"Anyone (general public), Scientists, Other",Species presence and/or abundance,Mapping of alien species,Mammals,Terrestrial,2017,Still running,3,Contributory,"Newsletters, Social media, Website, Other",Facebook,Yes,Limited,One-off,Partially,Yes,None,No,Yes,Partially,Yes,Yes,1 - 50,101 - 500,6 to 10
79,Croatia,Eastern,"Anyone (general public), Land managers, Other",Species presence and/or abundance,"Mapping of alien species, Prevention, Other",Plants,Terrestrial,2015,2017,2,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, Other",Facebook,Yes,,,,Yes,Unknown,,Yes,Yes,Yes,Yes,Info not available,Info not available,Unknown
81,"Austria, France, Germany, Italy, Slovenia","Eastern, Southern, Western","Anyone (general public), Land managers, Other","Species presence and/or abundance, Measuring impacts, Evidence of impacts on biodiversity","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising, Testing scientific hypothesis, Fun",Plants,"Terrestrial, Urban",2019,Still running,1,,"Social media, Website, Live training, e.g., courses or workshops, School engagement, Gaming","Facebook, Twitter, YouTube, Instagram",Yes,None,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,Yes,Yes,Info not available,Info not available,Unknown
82,Italy,Southern,"Anyone (general public), Fishermen, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Measuring impacts, Evidence of impacts on biodiversity, Early detection, Rate of spread, Experimental data","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis",Fish,Marine,2012,Still running,8,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, BioBlitzes","Facebook, Instagram",Yes,Limited,Regular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc., Online training",Yes,No,Yes,Yes,Yes,51 - 100,1 - 50,1 to 5
84,Portugal,Southern,Anyone (general public),"Species presence and/or abundance, Early detection, Other","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Plants,"Freshwater, Terrestrial, Urban",2017,Still running,3,Contributory,"Social media, Website, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter, Instagram",Yes,Limited,Dependent,Yes,Yes,"None, Group training",Yes,Request,Partially,Yes,Yes,51 - 100,Not applicable,Unknown
85,Portugal,Southern,School students,"Changes in abundance, Experimental data","Monitoring or surveillance, Engagement, Education, Awareness raising",Crustaceans,Freshwater,2018,2019,1,Contributory,"Live training, e.g., courses or workshops, School engagement",None,No,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,,Yes,Yes,Yes,Not applicable,Not applicable,1 to 5
86,Poland,Eastern,"Anyone (general public), Fishermen, School students, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Measuring impacts, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis, Fun","Plants, Crustaceans, Molluscs, Fish, Other","Freshwater, Marine, Urban",2019,Still running,1,Collaborative,"Social media, Website, Exhibitions, Live training, e.g., courses or workshops",Facebook,Yes,Limited,Irregular,Yes,Yes,Online training,Yes,Yes,Yes,Yes,Yes,2001 - 5000,101 - 500,6 to 10
